Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
8306,"Reinkens, Joseph Hubert",Reinkens Joseph Hubert,Reinkens,Joseph Hubert,1. März 1821
8307,"Reinmann, Ernst",Reinmann Ernst,Reinmann,Ernst,17. März 1890
8308,"Reinmar, Walter",Reinmar Walter,Reinmar,Walter,.
8309,"Reinsberg-Düringsfeld, Jda von",Reinsberg-Düringsfeld Jda,Reinsberg-Düringsfeld,Jda,.
8310,"Reinsberger, E",Reinsberger E,Reinsberger,E,.
8311,"Reinwald, Theodor",Reinwald Theodor,Reinwald,Theodor,.
8312,"Reischach, Elisabeth Gräfin von",Reischach Elisabeth,Reischach,Elisabeth,28. Januar 1862
8313,"Reischauer, Luise",Reischauer Luise,Reischauer,Luise,.
8314,"Reischl, Joseph",Reischl Joseph,Reischl,Joseph,7. Juli1842
8315,"Reiselt, Karl Hermann",Reiselt Karl Hermann,Reiselt,Karl Hermann,10. Juli 1865
8316,"Reishaus, Theodor",Reishaus Theodor,Reishaus,Theodor,25. September 1836
8317,"Reisner(-Cepinsky), Viktor Freiherr von",Reisner(-Cepinsky) Viktor,Reisner(-Cepinsky),Viktor,21. Nov. 1860
8318,"Reißert, Oswald",Reißert Oswald,Reißert,Oswald,26.März 1861
8319,"Reiswitz, Wilhelm Freiherr von",Reiswitz Wilhelm,Reiswitz,Wilhelm,11. Septbr. 1859
8320,"Reiter, Adolf",Reiter Adolf,Reiter,Adolf,30. Juni1843
8321,"Reiterer, Karl",Reiterer Karl,Reiterer,Karl,.
8322,"Reithard, (eigentlich Reithar), Johann Jakob",Reithard Johann Jakob,Reithard,Johann Jakob,15. März 1805
8323,"Reither, Rudolf",Reither Rudolf,Reither,Rudolf,.
8324,"Reitler, Marzellin Adalbert",Reitler Marzellin Adalbert,Reitler,Marzellin Adalbert,17. Juni1838
8325,"Reitterer, Franz Xaver",Reitterer Franz Xaver,Reitterer,Franz Xaver, Oktober 1892
8326,"Reitzel, Robert",Reitzel Robert,Reitzel,Robert,27.Januar 1849
8327,"Reitzenbeck, Heinrich",Reitzenbeck Heinrich,Reitzenbeck,Heinrich,7. Juli1812
8328,"Reitzenstein, Editha Freiin von",Reitzenstein Editha,Reitzenstein,Editha,5. Nov. 1850
8329,"Reitzenstein, Marie Freifrau v",Reitzenstein Marie,Reitzenstein,Marie,2. Dezember 1854
8330,"Reizenhofen, E. von",Reizenhofen E.,Reizenhofen,E.,.
8331,"Reizenstein, Franziska Freifrau von",Reizenstein Franziska,Reizenstein,Franziska,4.Juni 1896
8332,"Rekittke, Helene",Rekittke Helene,Rekittke,Helene,.
8333,"Reko, Viktor A",Reko Viktor A,Reko,Viktor A,5. August 1880
8334,"Reland, Ludwig",Reland Ludwig,Reland,Ludwig,.
8335,"Relda, Max",Relda Max,Relda,Max,.
8336,Rellüm,Rellüm ,Rellüm,,.
8337,"Relly, E",Relly E,Relly,E,.
8338,"Rembe, Anatole",Rembe Anatole,Rembe,Anatole,7.Mai 1861
8339,"Rembe, Heinrich",Rembe Heinrich,Rembe,Heinrich,24.Februar 1858
8340,"Remekházy, Josephine Freiin zu",Remekházy Josephine,Remekházy,Josephine,13. Novbr. 1809
8341,"Remer, Paul",Remer Paul,Remer,Paul,16. Juni1867
8342,"Remin, Ernst",Remin Ernst,Remin,Ernst,10. März1853
8343,"Remling, Konrad",Remling Konrad,Remling,Konrad,24. Juni 1876
8344,"Remmo, L",Remmo L,Remmo,L,.
8345,"Remy, Max",Remy Max,Remy,Max,13.Mai 1872
8346,"Remy, Nahida",Remy Nahida,Remy,Nahida,.
8347,"Renatus, Johannes",Renatus Johannes,Renatus,Johannes,.
8348,"Renaud, Theodor",Renaud Theodor,Renaud,Theodor,6. Febr. 1844
8349,"Renauld, Edle von Kellenbach",Renauld ,Renauld,,.
8350,"Rendlöm, Adolf",Rendlöm Adolf,Rendlöm,Adolf,.
8351,"René, E",René E,René,E,.
8352,"René, H",René H,René,H,.
8353,"Renk, Anton",Renk Anton,Renk,Anton,2. Febr. 1906
8354,"Renk, Paul",Renk Paul,Renk,Paul,6. Januar1815
8355,"Renker, Felix",Renker Felix,Renker,Felix,.
8356,"Renn, Paul",Renn Paul,Renn,Paul,27. Nov. 1806
8357,"Rennecke, Pauline",Rennecke Pauline,Rennecke,Pauline,Febr. 1835
8358,"Renner, Gustav",Renner Gustav,Renner,Gustav,.
8359,"Rentz, Marga Freiin von",Rentz Marga,Rentz,Marga,28. April 1871
8360,"Renz, Gustav Adolf",Renz Gustav Adolf,Renz,Gustav Adolf,26. Juli 1862
8361,"Renz, B",Renz B,Renz,B,.
8362,"Renz, L. O",Renz L. O,Renz,L. O,.
8363,"Resa, T",Resa T,Resa,T,.
8364,"Resch, Helene",Resch Helene,Resch,Helene,.
8365,"Resch, Wilhelm",Resch Wilhelm,Resch,Wilhelm,19. Aug.1876
8366,Reschif,Reschif ,Reschif,,.
8367,"Resée, Alfons de",Resée Alfons,Resée,Alfons,25.Novbr. 1872
8368,"Resimius-Berkow, W",Resimius-Berkow W,Resimius-Berkow,W,10. April 1862
8369,"Reß, Robert",Reß Robert,Reß,Robert,2. Juni 1871
8370,"Ressel, Emil",Ressel Emil,Ressel,Emil,20. Nov.1861
8371,"Ressel, Gustav Andreas",Ressel Gustav Andreas,Ressel,Gustav Andreas,5. April 1861
8372,"Ressel, Joseph",Ressel Joseph,Ressel,Joseph,10. März1810
8373,"Ressel, Wilhelm",Ressel Wilhelm,Ressel,Wilhelm,8.Jan. 1852
8374,"Retcliffe, Sir John",Retcliffe John,Retcliffe,John,.
8375,"Rething, Marie",Rething Marie,Rething,Marie,.
8376,"Rethwisch, Ernst",Rethwisch Ernst,Rethwisch,Ernst,22. Nov.1852
8377,"Rethwisch, Karl",Rethwisch Karl,Rethwisch,Karl,15.Februar 1839
8378,"Rethwisch, Karl Anton Theodor",Rethwisch Karl Anton Theodor,Rethwisch,Karl Anton Theodor,30. Jan. 1824
8379,"Retland, Florus",Retland Florus,Retland,Florus,.
8380,"Retsiem, Karl",Retsiem Karl,Retsiem,Karl,.
8381,"Rettig, Friedrich Gottfried",Rettig Friedrich Gottfried,Rettig,Friedrich Gottfried,4. Juni 1802
8382,"Reuleaux, Karl",Reuleaux Karl,Reuleaux,Karl,21. Mai 1902
8383,"Reulecke, August",Reulecke August,Reulecke,August,1. Oktober1891
8384,"Reuling, Carlot Gottfried",Reuling Carlot Gottfried,Reuling,Carlot Gottfried,20. März 1861
8385,"Reuling, Wilhelm",Reuling Wilhelm,Reuling,Wilhelm,27.Mai 1837
8386,"Reumont, Alfred von",Reumont Alfred,Reumont,Alfred,15. August 1808
8387,"Reusch, Henriette",Reusch Henriette,Reusch,Henriette,.
8388,"Reusch, Rudolf",Reusch Rudolf,Reusch,Rudolf,4. Dezbr.1810
8389,"Reuß, Franz",Reuß Franz,Reuß,Franz,5. Mai1879
8390,"Reuß, Jenny von",Reuß Jenny,Reuß,Jenny,.
8391,"Reuß, Zoë von",Reuß Zoë,Reuß,Zoë,. Nov. 1905
8392,"Reuter, Fritz",Reuter Fritz,Reuter,Fritz,7. Novbr.1810
8393,"Reuter, Gabriele",Reuter Gabriele,Reuter,Gabriele,8.Febr. 1859
8394,"Reuter, Otto",Reuter Otto,Reuter,Otto,.
8395,"Reuter, Wilhelm",Reuter Wilhelm,Reuter,Wilhelm,18.Jan. 1833
8396,"Revel, Alphonse",Revel Alphonse,Revel,Alphonse,.
8397,"Reventlow, Franziska Gräfin zu",Reventlow Franziska,Reventlow,Franziska,18. Juli 1871
8398,"Revocatus, P. Fr",Revocatus P. Fr,Revocatus,P. Fr,.
8399,"Rex, Erwin",Rex Erwin,Rex,Erwin,.
8400,"Reyer(-Prokesch), Jrene Freifrau von",Reyer Jrene,Reyer,Jrene,22. Juli 1841
8401,"Reyer, Antonie Freiin von",Reyer Antonie,Reyer,Antonie,.
8402,"Reyher-Peins, Dolly von",Reyher-Peins Dolly,Reyher-Peins,Dolly, Oktober 1905
8403,"Reymond, Anton",Reymond Anton,Reymond,Anton,18.Dezbr. 1861
8404,"Reymond, Moritz",Reymond Moritz,Reymond,Moritz,30. Juni1833
8405,"Rhein, A. vom",Rhein A.,Rhein,A.,.
8406,"Rhein, Alphons vom",Rhein Alphons,Rhein,Alphons,.
8407,"Rheinau, Klara",Rheinau Klara,Rheinau,Klara,.
8408,"Rheinau, Sophie",Rheinau Sophie,Rheinau,Sophie,.
8409,"Rheinberger, Franziska",Rheinberger Franziska,Rheinberger,Franziska,18. Oktober 1832
8410,"Rheindt, Fritz Georg",Rheindt Fritz Georg,Rheindt,Fritz Georg,3. März 1857
8411,"Rheinfelder, Wilderich",Rheinfelder Wilderich,Rheinfelder,Wilderich,.
8412,"Rheinisch, Albin",Rheinisch Albin,Rheinisch,Albin,1. März1845
8413,"Rheinsch, Erika und Othmar",Rheinsch Erika und Othmar,Rheinsch,Erika und Othmar,.
8414,"Rhena, A",Rhena A,Rhena,A,.
8415,"Rhenanus, Beatus",Rhenanus Beatus,Rhenanus,Beatus,.
8416,"Rhenstädt, Ada",Rhenstädt Ada,Rhenstädt,Ada,.
8417,"Rhiem, Hanna",Rhiem Hanna,Rhiem,Hanna,5. Juni1865
8418,"Rhoden, Emmy von",Rhoden Emmy,Rhoden,Emmy,.
8419,"Rhök, Jakob",Rhök Jakob,Rhök,Jakob,.
8420,"Rhyn, Atz vom",Rhyn Atz,Rhyn,Atz,.
8421,"Ribbeck, Walter",Ribbeck Walter,Ribbeck,Walter,13. Mai1858
8422,"Ricek, Leopold Georg",Ricek Leopold Georg,Ricek,Leopold Georg,15. November 1863
8423,"Richard, C",Richard C,Richard,C,.
8424,"Richard, Jean",Richard Jean,Richard,Jean,.
8425,"Richard, Johann Friedrich",Richard Johann Friedrich,Richard,Johann Friedrich,7. Septbr. 1804
8426,"Richard, Klara",Richard Klara,Richard,Klara,.
8427,"Richard, Martin",Richard Martin,Richard,Martin,.
8428,"Richter, Arthur",Richter Arthur,Richter,Arthur,.
8429,"Richter, Eduard J",Richter Eduard J,Richter,Eduard J,5. Mai 1846
8430,"Richter, Karl Ernst Erich",Richter Karl Ernst Erich,Richter,Karl Ernst Erich,19. Oktbr. 1842
8431,"Richter, Jean Paul Friedrich Eugen",Richter Jean Paul Friedrich Eugen,Richter,Jean Paul Friedrich Eugen,Oktober 1862
8432,"Richter, Fernande",Richter Fernande,Richter,Fernande,.
8433,"Richter, Franz",Richter Franz,Richter,Franz,27.April 1858
8434,"Richter, Friedrich",Richter Friedrich,Richter,Friedrich,Septbr. 1811
8435,"Richter, Gottlob Christian Friedrich",Richter Gottlob Christian Friedrich,Richter,Gottlob Christian Friedrich,11. Februar1807
8436,"Richter, Hans",Richter Hans,Richter,Hans,1. Juli 1897
8437,"Richter, Johannes",Richter Johannes,Richter,Johannes,7. Juli 1867
8438,"Richter, Karl",Richter Karl,Richter,Karl,3. April1827
8439,"Richter, Karl",Richter Karl,Richter,Karl,31. Aug.1842
8440,"Richter, Karl Thomas",Richter Karl Thomas,Richter,Karl Thomas,15. Oktbr. 1878
8441,"Richter, Marie",Richter Marie,Richter,Marie,12.November 1855
8442,"Richter, J. W. Otto",Richter J. W. Otto,Richter,J. W. Otto,.Juni 1839
8443,"Richthofen, Gertrud, Freifrau von",Richthofen Gertrud,Richthofen,Gertrud,14. Oktober 1830
8444,"Richtmann, Eugen",Richtmann Eugen,Richtmann,Eugen,.
8445,"Rick, Karl",Rick Karl,Rick,Karl,3. August 1815
8446,"Rick, Wolfgang",Rick Wolfgang,Rick,Wolfgang,1. April 1854
8447,"Rickers, Heinrich",Rickers Heinrich,Rickers,Heinrich,22. Mai1864
8448,"Rickmeyer, Marie",Rickmeyer Marie,Rickmeyer,Marie,.
8449,"Ridder, Lucien de",Ridder Lucien,Ridder,Lucien,.
8450,"Ridderhoff, Kuno",Ridderhoff Kuno,Ridderhoff,Kuno,23. August 1869
8451,Rideamus,Rideamus ,Rideamus,,.
8452,"Rieb, Hans",Rieb Hans,Rieb,Hans,.
8453,"Riecke, Adelheid",Riecke Adelheid,Riecke,Adelheid,5. Juli1842
8454,"Riecke, Gustav Adolf",Riecke Gustav Adolf,Riecke,Gustav Adolf,13. Jan. 1829
8455,"Riecke, Oskar",Riecke Oskar,Riecke,Oskar,1. Juni1881
8456,"Riedberg, Erika",Riedberg Erika,Riedberg,Erika,.
8457,"Riedel, Albert",Riedel Albert,Riedel,Albert,22. Jan.1827
8458,"Riedel, Armand",Riedel Armand,Riedel,Armand, Mai 1893
8459,"Riedel, Karl Louis",Riedel Karl Louis,Riedel,Karl Louis,29. April 1847
8460,"Riedel-Ahrens, Bertha",Riedel-Ahrens Bertha,Riedel-Ahrens,Bertha,3. August 1883
8461,"Rieder, Edmund",Rieder Edmund,Rieder,Edmund,16. Novbr. 1802
8462,"Riedl, Franz Xaver",Riedl Franz Xaver,Riedl,Franz Xaver,1. März 1826
8463,"Riedl, Peter",Riedl Peter,Riedl,Peter,.
8464,"Riefenthal, Theodor",Riefenthal Theodor,Riefenthal,Theodor,6. Aug. 1835
8465,"Riegel, Hermann",Riegel Hermann,Riegel,Hermann,27. Febr.1834
8466,"Rieger, Friedrich Maximilian",Rieger Friedrich Maximilian,Rieger,Friedrich Maximilian,10. Nov. 1909
8467,"Rieger, Sebastian",Rieger Sebastian,Rieger,Sebastian,28. Mai1867
8468,"Riehl, F. W",Riehl F. W,Riehl,F. W,1. Januar1844
8469,"Riehl, Wilhelm Heinrich von",Riehl Wilhelm Heinrich,Riehl,Wilhelm Heinrich,6. Mai 1823
8470,"Rieke, A",Rieke A,Rieke,A,1. Juli 1875
8471,"Riekhoff, Friedrich von",Riekhoff Friedrich,Riekhoff,Friedrich,11. Januar 1809
8472,"Riemann, Otto",Riemann Otto,Riemann,Otto,21.März 1850
8473,"Riemann, Robert Konrad Viktor",Riemann Robert Konrad Viktor,Riemann,Robert Konrad Viktor,4. Oktober 1877
8474,"Riemasch, Otto",Riemasch Otto,Riemasch,Otto,.
8475,"Riemer, A. Fr",Riemer A. Fr,Riemer,A. Fr,Oktbr. 1909
8476,"Riemer, Ludwig",Riemer Ludwig,Riemer,Ludwig,21. April 1870
8477,"Rien, Heinrich Christian Ludwig",Rien Heinrich Christian Ludwig,Rien,Heinrich Christian Ludwig,15. März 1843
8478,"Rienößl, Heinrich",Rienößl Heinrich,Rienößl,Heinrich,4. Juni 1877
8479,"Ries, Clara Ernestine",Ries Clara Ernestine,Ries,Clara Ernestine,15. März 1855
8480,"Riesemann, Hedda von",Riesemann Hedda,Riesemann,Hedda,10. Septbr. 1864
8481,"Riesen, Gertrud",Riesen Gertrud,Riesen,Gertrud,.
8482,"Riesenthal, Julius Adolf Oskar von",Riesenthal Julius Adolf Oskar,Riesenthal,Julius Adolf Oskar,18. Septbr. 1830
8483,"Riesler, Ulrich",Riesler Ulrich,Riesler,Ulrich,.
8484,"Rieß, Agnes",Rieß Agnes,Rieß,Agnes,8. Mai1842
8485,"Rieß, Richard",Rieß Richard,Rieß,Richard,9. Juli1890
8486,"Rieth, Rudolf",Rieth Rudolf,Rieth,Rudolf,.
8487,"Rietmann, Johann Jakob",Rietmann Johann Jakob,Rietmann,Johann Jakob,13. Oktbr. 1815
8488,"Riffert, Julius Ehrenfried",Riffert Julius Ehrenfried,Riffert,Julius Ehrenfried,7. Dezbr. 1854
8489,"Riggert, Wilhelm",Riggert Wilhelm,Riggert,Wilhelm,18.März 1852
8490,"Rilke, René Maria Cäsar",Rilke René Maria Cäsar,Rilke,René Maria Cäsar,4. Dezbr.1875
8491,"Ring, B",Ring B,Ring,B,.
8492,"Ring, Max",Ring Max,Ring,Max,22. Juli 1817
8493,"Ringer, Ferdinand",Ringer Ferdinand,Ringer,Ferdinand,.
8494,"Ringseis, Emilie",Ringseis Emilie,Ringseis,Emilie,15. Novbr.1831
8495,"Rinhart, K",Rinhart K,Rinhart,K,.
8496,"Rion, Dr",Rion Dr,Rion,Dr,.
8497,"Riotte, Franziska",Riotte Franziska,Riotte,Franziska,18. Mai 1845
8498,"Riotte, Hermann",Riotte Hermann,Riotte,Hermann,4.Juli 1846
8499,"Ripcke, Leopold",Ripcke Leopold,Ripcke,Leopold,29. Nov.1871
8500,"Ris, Jenny",Ris Jenny,Ris,Jenny,23. Novbr. 1860
8501,"Risch, Otto",Risch Otto,Risch,Otto, März1870
8502,"Risch, Paul",Risch Paul,Risch,Paul,20. Januar1862
8503,"Risch, Marie-Luise",Risch Marie-Luise,Risch,Marie-Luise, Juni 1900
8504,"Rittberg, H. von",Rittberg H.,Rittberg,H.,.
8505,"Ritter, Alfred",Ritter Alfred,Ritter,Alfred,.
8506,"Ritter, Anna",Ritter Anna,Ritter,Anna,23. Febr.1865
8507,"Ritter, Armin",Ritter Armin,Ritter,Armin,.
8508,"Ritter, Eduard Eugen",Ritter Eduard Eugen,Ritter,Eduard Eugen,21. Januar 1869
8509,"Ritter, Ernst",Ritter Ernst,Ritter,Ernst,.
8510,"Ritter, Franz",Ritter Franz,Ritter,Franz,13. Nov.1876
8511,"Ritter, Gottlieb",Ritter Gottlieb,Ritter,Gottlieb,.
8512,"Ritter, Hermann",Ritter Hermann,Ritter,Hermann,.
8513,"Ritter, Hermann",Ritter Hermann,Ritter,Hermann,18. März 1864
8514,"Ritter, Karl Gottfried",Ritter Karl Gottfried,Ritter,Karl Gottfried,9. Oktober 1891
8515,"Ritter, Marie",Ritter Marie,Ritter,Marie,.
8516,"Ritter, Oskar",Ritter Oskar,Ritter,Oskar,.
8517,"Ritter, Paul",Ritter Paul,Ritter,Paul,10. Jan. 1843
8518,"Rittershaus, Emil",Rittershaus Emil,Rittershaus,Emil,3.April 1834
8519,"Rittig, Johann",Rittig Johann,Rittig,Johann,17. Juli 1885
8520,"Rittland, Klaus",Rittland Klaus,Rittland,Klaus,.
8521,"Rittlingen, Leo",Rittlingen Leo,Rittlingen,Leo,.
8522,"Rittner, Rudolf",Rittner Rudolf,Rittner,Rudolf,30. Juni1869
8523,"Rittweger, Betty",Rittweger Betty,Rittweger,Betty,2. März 1856
8524,"Rittweger, Franz",Rittweger Franz,Rittweger,Franz,21.März 1828
8525,"Ritz-Lichtenow, Friedrich Wilhelm Albert Max von",Ritz-Lichtenow Friedrich Wilhelm Albert Max,Ritz-Lichtenow,Friedrich Wilhelm Albert Max,5. Mai 1855
8526,"Ritzel, Jörg",Ritzel Jörg,Ritzel,Jörg,31. März1864
8527,"Rivulet, Herbert",Rivulet Herbert,Rivulet,Herbert,.
8528,"Rizzi, Vincenz",Rizzi Vincenz,Rizzi,Vincenz,22. Jan.1816
8529,"Robbers, Wilhelm",Robbers Wilhelm,Robbers,Wilhelm,31.Mai 1838
8530,"Roeber, Friedrich",Roeber Friedrich,Roeber,Friedrich,19. Juni1819
8531,"Robert, Eugen",Robert Eugen,Robert,Eugen,.
8532,"Robert, Emil",Robert Emil,Robert,Emil,.
8533,"Robert, Karl",Robert Karl,Robert,Karl,.
8534,"Robert, Ludwig",Robert Ludwig,Robert,Ludwig,.
8535,"Robertin, H",Robertin H,Robertin,H,.
8536,"Roberts, Alexander Baron von",Roberts Alexander,Roberts,Alexander,23. Aug.1845
8537,"Robert-tornow, Walther Heinrich",Robert-tornow Walther Heinrich,Robert-tornow,Walther Heinrich,14. Juli 1852
8538,"Robertus, Gerda von",Robertus Gerda von,Robertus,Gerda von,.
8539,"Robiano, Louisa Mary Gräfin v",Robiano Louisa Mary,Robiano,Louisa Mary,27. Jan. 1821
8540,"Robinson, Peter",Robinson Peter,Robinson,Peter,.
8541,"Robischung, Franz Anton",Robischung Franz Anton,Robischung,Franz Anton,28. Juni 1847
8542,"Robolsky, Louis Hermann",Robolsky Louis Hermann,Robolsky,Louis Hermann,28. Juni 1838
8543,"Robran, Paul",Robran Paul,Robran,Paul,.
8544,"Rocca, Otto",Rocca Otto,Rocca,Otto,12. Aug.1856
8545,"Rocco, Charles",Rocco Charles,Rocco,Charles,Oktbr. 1881
8546,"Rocco, Friedrich Wilhelm",Rocco Friedrich Wilhelm,Rocco,Friedrich Wilhelm,22. März 1819
8547,"Rochholz, Ernst Ludwig",Rochholz Ernst Ludwig,Rochholz,Ernst Ludwig,4. März 1809
8548,"Rocholl, Heinrich Wilhelm",Rocholl Heinrich Wilhelm,Rocholl,Heinrich Wilhelm,3. Novbr. 1809
8549,"Rocholl, Hermann",Rocholl Hermann,Rocholl,Hermann,19. Juli 1836
8550,"Rocholl, Rudolf",Rocholl Rudolf,Rocholl,Rudolf,27.Septbr. 1822
8551,"Rochow, Gabriele von",Rochow Gabriele,Rochow,Gabriele,23. Oktober 1860
8552,"Rocke, Gotthilf Moritz",Rocke Gotthilf Moritz,Rocke,Gotthilf Moritz,6. Dezbr. 1816
8553,"Röckner, Gottfried Heinrich Theodor",Röckner Gottfried Heinrich Theodor,Röckner,Gottfried Heinrich Theodor,18. April 1826
8554,"Roda Roda, Alexander (Sandor) Friedrich Ladislaus",Roda Roda Alexander (Sandor) Friedrich Ladislaus,Roda Roda,Alexander (Sandor) Friedrich Ladislaus,13. April1872
8555,"Roda Roda, M",Roda Roda M,Roda Roda,M,.
8556,"Rodank, Arthur von",Rodank Arthur,Rodank,Arthur,.
8557,"Rode, Hans",Rode Hans,Rode,Hans,.
8558,"Rödel, Benno",Rödel Benno,Rödel,Benno,21. Mai1834
8559,"Rodemann, Karl Julius",Rodemann Karl Julius,Rodemann,Karl Julius,21. Dezbr. 1866
8560,"Rodenbach, Zoe von",Rodenbach Zoe,Rodenbach,Zoe,.
8561,"Rodenberg, Julius",Rodenberg Julius,Rodenberg,Julius, Juli 1867
8562,"Röder, Christian Friedrich",Röder Christian Friedrich,Röder,Christian Friedrich, Dezember1900
8563,"Roeder, Ernst",Roeder Ernst,Roeder,Ernst,17. März1862
8564,"Roeder, Hans Albert",Roeder Hans Albert,Roeder,Hans Albert,11. Juni 1859
8565,Roderich,Roderich ,Roderich,,.
8566,"Roderich, Albert",Roderich Albert,Roderich,Albert,28. Aug. 1846
8567,"Roderich, C",Roderich C,Roderich,C,.
8568,"Rödiger, Fritz",Rödiger Fritz,Rödiger,Fritz,18. März1825
8569,"Rödiger, Otto",Rödiger Otto,Rödiger,Otto,24. Febr.1845
8570,"Rodt, Rudolf",Rodt Rudolf,Rodt,Rudolf,.
8571,"Roëll, Paul Richard Dagobert Hermann Freiherr von",Roëll Paul Richard Dagobert Hermann,Roëll,Paul Richard Dagobert Hermann,2. Febr. 1850
8572,"Roffhack, Albert",Roffhack Albert,Roffhack,Albert,9.Oktbr. 1837
8573,"Rogge, Friedr. Wilhelm",Rogge Friedr. Wilhelm,Rogge,Friedr. Wilhelm,24. März 1889
8574,"Rogge, Marcello",Rogge Marcello,Rogge,Marcello,5. November 1883
8575,"Rohaczek, Johann Nepomuk",Rohaczek Johann Nepomuk,Rohaczek,Johann Nepomuk,.
8576,"Rohde, F",Rohde F,Rohde,F,25. Dezbr.1828
8577,"Röhde, Alide von",Röhde Alide,Röhde,Alide,3.Dezbr. 1860
8578,"Rohe, Karl Heinrich",Rohe Karl Heinrich,Rohe,Karl Heinrich,20.Mai 1846
8579,"Roehl, Arthur",Roehl Arthur,Roehl,Arthur,.
8580,"Rohleder, Theodor",Rohleder Theodor,Rohleder,Theodor,9.Juli 1864
8581,"Rohmann (eigentlich Roman), Adam",Rohmann  Adam,Rohmann ,Adam,20. Septbr. 1866
8582,"Rohmann, Ludwig",Rohmann Ludwig,Rohmann,Ludwig,27.Juni 1865
8583,"Rohn, Adeline Elisabeth",Rohn Adeline Elisabeth,Rohn,Adeline Elisabeth,3. März 1868
8584,"Rohr, Lorenz",Rohr Lorenz,Rohr,Lorenz,15. Aug.1846
8585,"Rohr, Mathias",Rohr Mathias,Rohr,Mathias,25. Febr.1840
8586,"Rohrbeck, Friederike",Rohrbeck Friederike,Rohrbeck,Friederike,18. Septbr. 1836
8587,"Rohrer, Fritz",Rohrer Fritz,Rohrer,Fritz,30. April1848
8588,"Röhrig, Karl",Röhrig Karl,Röhrig,Karl,.
8589,"Rohrscheidt, Kurt v",Rohrscheidt Kurt,Rohrscheidt,Kurt,23. Novbr. 1857
8590,"Roi (ursprünglich Roy), Bert",Roi  Bert,Roi ,Bert,24. August 1840
8591,"Roik, Alois",Roik Alois,Roik,Alois,3. Juni1877
8592,"Rojic (-Plaschki), Nelli",Rojic  Nelli,Rojic ,Nelli,17. Oktbr. 1881
8593,"Roland, Almuth",Roland Almuth,Roland,Almuth,.
8594,"Roland, E",Roland E,Roland,E,.
8595,"Roland, Paul",Roland Paul,Roland,Paul,.
8596,"Rolandin, B",Rolandin B,Rolandin,B,.
8597,"Rolf, Richard",Rolf Richard,Rolf,Richard,.
8598,"Rölker, Karl Johann Jodocus",Rölker Karl Johann Jodocus,Rölker,Karl Johann Jodocus,14. Febr. 1808
8599,"Roller, Christian",Roller Christian,Roller,Christian,9.Aug. 1840
8600,"Roller, Heinrich",Roller Heinrich,Roller,Heinrich,10. März1839
8601,"Rollet, J",Rollet J,Rollet,J,.
8602,"Rolletschek, Joseph",Rolletschek Joseph,Rolletschek,Joseph, Januar 1891
8603,"Rollett, Hermann",Rollett Hermann,Rollett,Hermann,20. August 1819
8604,"Roloff, Oskar",Roloff Oskar,Roloff,Oskar,26. Jan.1840
8605,"Roltsch, Richard",Roltsch Richard,Roltsch,Richard,27.Mai 1854
8606,"Rom, Thé von",Rom Thé,Rom,Thé,.
8607,"Roman, Gotthold",Roman Gotthold,Roman,Gotthold,.
8608,"Romang, Johann Jakob",Romang Johann Jakob,Romang,Johann Jakob,28. September 1831
8609,"Romann, Albrecht",Romann Albrecht,Romann,Albrecht,27. März 1850
8610,"Romanowski, Karl Eduard",Romanowski Karl Eduard,Romanowski,Karl Eduard,24. April 1868
8611,"Romanowski, Max",Romanowski Max,Romanowski,Max,20. April 1880
8612,"Rombach, M",Rombach M,Rombach,M,.
8613,"Romeo, Fritz",Romeo Fritz,Romeo,Fritz,.
8614,"Römer, Alexander",Römer Alexander,Römer,Alexander,.
8615,"Römer, Alwin",Römer Alwin,Römer,Alwin,13. Mai1861
8616,"Römer, Auguste von",Römer Auguste,Römer,Auguste,.
8617,"Römer, Emil",Römer Emil,Römer,Emil,16. Juli1848
8618,"Römer, Fritz",Römer Fritz,Römer,Fritz,27. Juli1849
8619,"Römer, Lina",Römer Lina,Römer,Lina,29. Juli 1844
8620,"Römer, Wilibald",Römer Wilibald,Römer,Wilibald,.
8621,"Römheld, Amalie",Römheld Amalie,Römheld,Amalie,.
8622,"Römheld, Karl Julius",Römheld Karl Julius,Römheld,Karl Julius,25. Mai 1826
8623,"Römhildt, Fritz",Römhildt Fritz,Römhildt,Fritz,.
8624,"Romhold, M. H",Romhold M. H,Romhold,M. H,.
8625,"Rommel, Ernst",Rommel Ernst,Rommel,Ernst,19. Juli1819
8626,"Rommel, Gustav",Rommel Gustav,Rommel,Gustav,14. Juli 1848
8627,"Rommel, Otto",Rommel Otto,Rommel,Otto,2. Febr.1854
8628,"Rommel, Theodore von",Rommel Theodore,Rommel,Theodore,.
8629,"Römpler, Hermann Friedrich",Römpler Hermann Friedrich,Römpler,Hermann Friedrich,.
8630,"Romuald, Adjutus",Romuald Adjutus,Romuald,Adjutus,.
8631,"Ronai, Armin",Ronai Armin,Ronai,Armin,16. Jan.1864
8632,"Ronay, Stephan",Ronay Stephan,Ronay,Stephan,14. Aug.1840
8633,"Ronninger, Karl Joseph",Ronninger Karl Joseph,Ronninger,Karl Joseph,28. April 1866
8634,"Roos, Josef, von Schüpfheim",Roos Josef,Roos,Josef,15. Oktober 1851
8635,"Röpe, Hermann Bernhard",Röpe Hermann Bernhard,Röpe,Hermann Bernhard,12. Oktbr. 1801
